epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s,peak_vram_mib
1,0.02376,0.09063,0.03283,0.01399,0.08662,0.02265,34.95,0.8766,0.000495,0.69,158.18
2,0.01224,0.08825,0.02106,0.01110,0.08558,0.01966,36.98,0.9041,0.000478,0.40,158.18
3,0.01062,0.08715,0.01933,0.01011,0.08475,0.01858,37.79,0.9162,0.000452,0.39,158.18
4,0.01003,0.08645,0.01868,0.00967,0.08405,0.01807,38.17,0.9207,0.000417,0.39,158.18
5,0.00977,0.08587,0.01835,0.00946,0.08351,0.01781,38.36,0.9230,0.000375,0.41,158.18
6,0.00962,0.08543,0.01817,0.00936,0.08310,0.01767,38.46,0.9242,0.000328,0.39,158.18
7,0.00952,0.08500,0.01802,0.00929,0.08278,0.01757,38.52,0.9249,0.000277,0.40,158.18
8,0.00947,0.08471,0.01794,0.00923,0.08246,0.01748,38.57,0.9256,0.000224,0.39,158.18
9,0.00943,0.08447,0.01787,0.00920,0.08220,0.01742,38.60,0.9261,0.000173,0.39,158.18
10,0.00939,0.08422,0.01781,0.00917,0.08197,0.01737,38.63,0.9265,0.000126,0.40,158.18
11,0.00937,0.08401,0.01777,0.00915,0.08181,0.01733,38.64,0.9268,0.000084,0.41,158.18
12,0.00935,0.08384,0.01773,0.00913,0.08170,0.01730,38.66,0.9270,0.000049,0.40,158.18
13,0.00933,0.08372,0.01770,0.00912,0.08164,0.01729,38.66,0.9271,0.000023,0.40,158.18
14,0.00933,0.08369,0.01770,0.00912,0.08161,0.01728,38.67,0.9272,0.000006,0.40,158.18
15,0.00933,0.08372,0.01770,0.00912,0.08160,0.01728,38.67,0.9272,0.000001,0.39,158.18
