patch_idx,y,x,ensemble_psnr_db,ensemble_ssim,m1_psnr_db,m2_psnr_db,m3_psnr_db,mean_disagreement,max_disagreement,corr_disagreement_sobel_gradient,edge_to_background_disagreement_ratio
0,256,256,38.97,0.9296,38.92,38.85,38.81,0.001541,0.008463,0.1579,1.038
1,256,288,39.06,0.9324,38.99,38.93,38.86,0.001648,0.008977,0.2621,1.058
2,256,320,39.11,0.9339,39.03,38.97,38.91,0.001677,0.008915,0.2562,1.066
3,256,352,38.99,0.9336,38.88,38.84,38.76,0.001782,0.011531,0.3951,1.099
4,256,384,38.71,0.9318,38.61,38.57,38.48,0.00184,0.011478,0.368,1.075
5,288,256,38.85,0.928,38.8,38.73,38.71,0.001548,0.008365,0.1842,1.061
6,288,288,39.05,0.9313,38.98,38.92,38.86,0.001619,0.00903,0.2736,1.068
7,288,320,38.93,0.9318,38.87,38.8,38.74,0.001649,0.008862,0.2615,1.075
8,288,352,38.93,0.9316,38.84,38.79,38.73,0.001718,0.00859,0.2327,1.04
9,288,384,38.64,0.9301,38.56,38.51,38.43,0.001769,0.008694,0.1946,1.016
10,320,256,38.74,0.928,38.68,38.62,38.59,0.001578,0.008464,0.1939,1.039
11,320,288,39.01,0.9314,38.94,38.88,38.83,0.001637,0.008186,0.219,1.043
12,320,320,38.91,0.9308,38.83,38.77,38.72,0.001654,0.009502,0.2277,1.054
13,320,352,38.83,0.9318,38.75,38.7,38.63,0.001737,0.00832,0.1986,1.02
14,320,384,38.56,0.9313,38.47,38.43,38.36,0.001816,0.008537,0.1969,1.014
15,352,256,38.76,0.9271,38.71,38.65,38.61,0.001541,0.008483,0.1976,1.028
16,352,288,39.19,0.9305,39.13,39.06,39.01,0.001544,0.010222,0.1778,1.053
17,352,320,39.05,0.9297,38.98,38.92,38.87,0.001592,0.00846,0.1863,1.064
18,352,352,38.92,0.9296,38.83,38.79,38.74,0.001684,0.008484,0.1914,1.035
19,352,384,38.52,0.9268,38.43,38.39,38.33,0.00178,0.008328,0.1754,1.014
20,384,256,38.49,0.9224,38.43,38.39,38.33,0.001565,0.009049,0.1822,1.006
21,384,288,38.73,0.923,38.67,38.63,38.58,0.001515,0.008878,0.1403,1.005
22,384,320,38.72,0.9229,38.66,38.62,38.57,0.001548,0.008796,0.1758,1.037
23,384,352,38.63,0.9237,38.57,38.52,38.47,0.001623,0.008567,0.1841,1.011
24,384,384,38.36,0.9225,38.28,38.24,38.19,0.001707,0.008838,0.1762,1.006
