epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s,peak_vram_mib
1,0.02499,0.09122,0.03411,0.01461,0.08583,0.02320,34.57,0.8651,0.000495,0.48,153.18
2,0.01291,0.08863,0.02177,0.01101,0.08479,0.01949,37.00,0.9061,0.000478,0.27,153.68
3,0.01097,0.08773,0.01975,0.01009,0.08388,0.01848,37.75,0.9152,0.000452,0.32,153.68
4,0.01025,0.08702,0.01895,0.00964,0.08319,0.01796,38.13,0.9199,0.000417,0.29,153.68
5,0.00991,0.08656,0.01857,0.00947,0.08269,0.01774,38.29,0.9215,0.000375,0.27,153.68
6,0.00973,0.08599,0.01833,0.00932,0.08226,0.01755,38.42,0.9235,0.000328,0.28,153.68
7,0.00965,0.08573,0.01822,0.00924,0.08195,0.01743,38.50,0.9245,0.000277,0.27,153.68
8,0.00958,0.08549,0.01813,0.00918,0.08171,0.01736,38.55,0.9250,0.000224,0.27,153.68
9,0.00951,0.08509,0.01802,0.00914,0.08148,0.01729,38.58,0.9255,0.000173,0.28,153.68
10,0.00949,0.08499,0.01799,0.00912,0.08129,0.01725,38.61,0.9259,0.000126,0.28,153.68
11,0.00946,0.08478,0.01794,0.00910,0.08115,0.01721,38.62,0.9261,0.000084,0.30,153.68
12,0.00946,0.08482,0.01794,0.00908,0.08105,0.01719,38.64,0.9263,0.000049,0.28,153.68
13,0.00943,0.08455,0.01789,0.00908,0.08099,0.01718,38.64,0.9264,0.000023,0.28,153.68
14,0.00943,0.08455,0.01788,0.00907,0.08096,0.01717,38.65,0.9264,0.000006,0.28,153.68
15,0.00943,0.08452,0.01788,0.00907,0.08095,0.01717,38.65,0.9265,0.000001,0.29,153.68
