epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s,peak_vram_mib
1,0.02502,0.09117,0.03414,0.01465,0.08585,0.02323,34.55,0.8649,0.000495,0.40,153.18
2,0.01293,0.08863,0.02179,0.01102,0.08483,0.01951,37.00,0.9058,0.000478,0.32,153.68
3,0.01097,0.08790,0.01977,0.01008,0.08393,0.01848,37.75,0.9152,0.000452,0.37,153.68
4,0.01026,0.08714,0.01897,0.00964,0.08326,0.01796,38.13,0.9199,0.000417,0.34,153.68
5,0.00991,0.08658,0.01857,0.00947,0.08275,0.01774,38.29,0.9215,0.000375,0.36,153.68
6,0.00974,0.08607,0.01834,0.00933,0.08233,0.01757,38.41,0.9234,0.000328,0.29,153.68
7,0.00965,0.08573,0.01822,0.00924,0.08202,0.01744,38.49,0.9244,0.000277,0.29,153.68
8,0.00958,0.08555,0.01813,0.00919,0.08178,0.01737,38.54,0.9249,0.000224,0.30,153.68
9,0.00953,0.08525,0.01806,0.00915,0.08157,0.01730,38.58,0.9254,0.000173,0.30,153.68
10,0.00949,0.08500,0.01799,0.00912,0.08140,0.01726,38.60,0.9257,0.000126,0.31,153.68
11,0.00948,0.08495,0.01797,0.00910,0.08126,0.01723,38.62,0.9260,0.000084,0.29,153.68
12,0.00946,0.08476,0.01793,0.00909,0.08117,0.01721,38.63,0.9262,0.000049,0.30,153.68
13,0.00945,0.08474,0.01792,0.00908,0.08112,0.01719,38.63,0.9263,0.000023,0.29,153.68
14,0.00944,0.08467,0.01791,0.00908,0.08109,0.01719,38.64,0.9263,0.000006,0.29,153.68
15,0.00944,0.08471,0.01791,0.00908,0.08108,0.01719,38.64,0.9263,0.000001,0.31,153.68
