epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s,peak_vram_mib
1,0.02480,0.09100,0.04300,0.01452,0.08543,0.03160,34.64,0.8675,0.000495,0.39,153.18
2,0.01281,0.08828,0.03046,0.01092,0.08419,0.02776,37.08,0.9068,0.000478,0.33,153.68
3,0.01089,0.08722,0.02833,0.01000,0.08319,0.02664,37.83,0.9161,0.000452,0.29,153.68
4,0.01017,0.08643,0.02746,0.00958,0.08247,0.02608,38.19,0.9205,0.000417,0.29,153.68
5,0.00984,0.08590,0.02702,0.00939,0.08196,0.02578,38.37,0.9225,0.000375,0.31,153.68
6,0.00966,0.08529,0.02671,0.00924,0.08149,0.02554,38.49,0.9245,0.000328,0.29,153.68
7,0.00957,0.08503,0.02658,0.00915,0.08109,0.02537,38.57,0.9256,0.000277,0.29,153.68
8,0.00949,0.08459,0.02641,0.00909,0.08074,0.02524,38.63,0.9263,0.000224,0.30,153.68
9,0.00942,0.08412,0.02624,0.00904,0.08043,0.02513,38.67,0.9270,0.000173,0.28,153.68
10,0.00939,0.08392,0.02617,0.00901,0.08018,0.02504,38.70,0.9274,0.000126,0.28,153.68
11,0.00935,0.08360,0.02607,0.00898,0.07999,0.02498,38.72,0.9278,0.000084,0.28,153.68
12,0.00934,0.08358,0.02606,0.00897,0.07986,0.02494,38.73,0.9280,0.000049,0.28,153.68
13,0.00932,0.08336,0.02599,0.00896,0.07978,0.02491,38.74,0.9281,0.000023,0.33,153.68
14,0.00932,0.08337,0.02599,0.00895,0.07975,0.02490,38.74,0.9282,0.000006,0.29,153.68
15,0.00930,0.08326,0.02595,0.00895,0.07973,0.02490,38.74,0.9282,0.000001,0.29,153.68
