epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s,peak_vram_mib
1,0.02089,0.09067,0.03903,0.01362,0.08447,0.03051,35.24,0.8821,0.000495,0.42,178.29
2,0.01186,0.08750,0.02936,0.01052,0.08348,0.02722,37.40,0.9117,0.000478,0.34,178.29
3,0.01044,0.08682,0.02780,0.00967,0.08266,0.02620,38.11,0.9198,0.000452,0.33,178.79
4,0.00997,0.08604,0.02718,0.00943,0.08217,0.02586,38.32,0.9217,0.000417,0.33,178.79
5,0.00971,0.08552,0.02681,0.00932,0.08171,0.02566,38.42,0.9231,0.000375,0.31,178.79
6,0.00961,0.08518,0.02664,0.00918,0.08128,0.02544,38.55,0.9249,0.000328,0.30,178.79
7,0.00951,0.08473,0.02645,0.00911,0.08091,0.02529,38.61,0.9257,0.000277,0.31,178.79
8,0.00945,0.08444,0.02634,0.00906,0.08059,0.02518,38.65,0.9263,0.000224,0.30,178.79
9,0.00940,0.08410,0.02622,0.00902,0.08033,0.02508,38.69,0.9269,0.000173,0.31,178.79
10,0.00938,0.08403,0.02619,0.00899,0.08012,0.02501,38.71,0.9273,0.000126,0.31,178.79
11,0.00934,0.08366,0.02607,0.00897,0.07996,0.02496,38.73,0.9276,0.000084,0.30,178.79
12,0.00933,0.08355,0.02604,0.00895,0.07985,0.02492,38.74,0.9278,0.000049,0.30,178.79
13,0.00932,0.08344,0.02601,0.00894,0.07978,0.02490,38.75,0.9279,0.000023,0.30,178.79
14,0.00932,0.08345,0.02601,0.00894,0.07975,0.02489,38.75,0.9280,0.000006,0.31,178.79
15,0.00931,0.08338,0.02598,0.00894,0.07974,0.02489,38.75,0.9280,0.000001,0.30,178.79
