model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",0,86.11,0.1389,0.0,0.11559359729290009,0.18967723846435547,0.13662299513816833,0.11364570260047913,0.0014375934842973948,0.0005050911568105221,0.02072,0.029998401179909706,38.77,0.9278,0.17999999999999972,0.8154,0.3849,0.5558
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",1,87.32,0.1268,0.0,0.1215815320611,0.1671338677406311,0.11842036247253418,0.10020236670970917,0.0014336147578433156,0.0005092995124869049,0.01999,0.02967059053480625,38.91,0.9297,0.18999999999999773,0.8261,0.4208,0.5924
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",2,86.04,0.1396,0.0,0.10001182556152344,0.1729382574558258,0.14920707046985626,0.13625860214233398,0.0014318989124149084,0.0005106009775772691,0.02021,0.029584113508462906,39.05,0.9309,0.19999999999999574,0.8028,0.4118,0.5834
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",3,86.26,0.1374,0.0,0.10679388046264648,0.22027722001075745,0.14213469624519348,0.08027349412441254,0.0014813535381108522,0.0005011867033317685,0.02074,0.0295545794069767,39.01,0.9313,0.18999999999999773,0.7889,0.4142,0.5858
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",4,85.93,0.1407,0.0,0.1228119283914566,0.1929779052734375,0.1569453477859497,0.09015366435050964,0.0015460328431800008,0.0005009437445551157,0.02078,0.028649963438510895,39.09,0.9333,0.1600000000000037,0.7922,0.3946,0.5659
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",5,84.53,0.1547,0.0,0.12582826614379883,0.258077472448349,0.14578565955162048,0.08898968994617462,0.001636025495827198,0.0005001917015761137,0.02158,0.028870001435279846,39.0,0.9323,0.14999999999999858,0.8582,0.3115,0.475
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",6,86.07,0.1393,0.0,0.10464431345462799,0.20160548388957977,0.15668722987174988,0.0942382663488388,0.0016513473819941282,0.0004970687441527843,0.02108,0.029249103739857674,38.96,0.9315,0.14000000000000057,0.8591,0.3298,0.496
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",7,84.38,0.1562,0.0,0.11624196171760559,0.2160654366016388,0.1513153314590454,0.14098241925239563,0.001429807860404253,0.0005041240947321057,0.02115,0.02960333600640297,38.76,0.9243,0.18999999999999773,0.7997,0.3731,0.5434
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",8,85.32,0.1468,0.0,0.10033471137285233,0.20619934797286987,0.15907418727874756,0.1217271015048027,0.00142893404699862,0.0005137838888913393,0.0208,0.029861561954021454,38.73,0.9251,0.18999999999999773,0.8141,0.4079,0.5795
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",9,85.32,0.1468,0.0,0.102887362241745,0.2104324996471405,0.14505428075790405,0.12894882261753082,0.0014236723072826862,0.0005147018819116056,0.02035,0.030280813574790955,38.86,0.928,0.18999999999999773,0.8083,0.3965,0.5679
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",10,86.98,0.1302,0.0,0.1097361221909523,0.1772294044494629,0.14489716291427612,0.08888883888721466,0.0015162783674895763,0.0005088303587399423,0.02061,0.030220087617635727,38.77,0.9282,0.1600000000000037,0.8243,0.3876,0.5586
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",11,84.92,0.1508,0.0,0.11642029881477356,0.2206045687198639,0.17166078090667725,0.09452870488166809,0.0015390878543257713,0.0005066946032457054,0.02032,0.02929571270942688,38.94,0.9319,0.14999999999999858,0.8198,0.3582,0.5275
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",12,86.06,0.1394,0.0,0.12137719243764877,0.20892208814620972,0.13635891675949097,0.09103672206401825,0.0016350935911759734,0.0005105303134769201,0.01994,0.02987179160118103,38.91,0.9316,0.12999999999999545,0.8659,0.2767,0.4334
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",13,85.14,0.1486,0.0,0.11675980687141418,0.221167653799057,0.14253860712051392,0.11402642726898193,0.00165076635312289,0.0005056611262261868,0.01996,0.03060503862798214,38.68,0.9295,0.11999999999999744,0.8671,0.3394,0.5068
